Region,Sales,Profit,Date,Units Sold,Product Category
Maharashtra,5803.73,1825.57,19-04-2023,3,Electronics
Punjab,768.95,484.11,12-07-2023,73,Clothing
Karnataka,2236.56,408.68,29-06-2023,89,Books
Kerala,845.8,1644.97,13-09-2023,24,Furniture
Kerala,4015.12,171.59,14-09-2023,134,Books
Rajasthan,3896.5,691.46,05-05-2023,120,Clothing
Punjab,2666.26,903.86,28-10-2023,117,Clothing
Kerala,7642.71,583.09,08-11-2023,103,Furniture
Maharashtra,6589.57,1374.13,28-09-2023,91,Books
Haryana,500.32,410.62,26-03-2023,42,Books
Maharashtra,9246.55,78.71,30-03-2023,140,Furniture
Rajasthan,8490.63,1082.53,16-10-2023,26,Electronics
Kerala,557.56,1771.81,19-06-2023,72,Clothing
Haryana,9955.67,229.11,18-09-2023,35,Books
Rajasthan,8155.68,467.44,13-08-2023,133,Clothing
Haryana,5794.27,199.08,16-04-2023,74,Books
Rajasthan,7813.32,1283.3,15-08-2023,8,Electronics
Kerala,8539.75,1770.41,01-07-2023,24,Books
Rajasthan,2986.98,1763.56,26-11-2023,35,Furniture
Punjab,7253.2,252.09,13-12-2023,54,Furniture
Haryana,5714.7,926.79,29-04-2023,8,Books
Rajasthan,6085.79,1253.78,21-03-2023,135,Clothing
Punjab,7183.9,1645.19,02-02-2023,79,Books
Kerala,6302.24,711.07,17-11-2023,4,Clothing
Maharashtra,4113.09,412.4,09-12-2023,12,Electronics
Karnataka,8674.17,1190.51,29-08-2023,148,Furniture
Kerala,3227.17,1420.77,30-11-2023,66,Books
Kerala,2437.87,1247.33,31-03-2023,139,Books
Haryana,7624.42,122.77,08-10-2023,11,Electronics
Maharashtra,5996.45,1772.02,18-07-2023,31,Books
Kerala,4634.79,212.99,16-06-2023,104,Furniture
Karnataka,9775.92,1782.63,08-03-2023,70,Books
Rajasthan,5446.84,1900.11,19-01-2023,4,Clothing
Gujarat,9055.59,1546,04-05-2023,2,Clothing
Rajasthan,1930.08,535.42,22-11-2023,44,Electronics
Gujarat,5790.88,1231.28,21-04-2023,120,Books
Rajasthan,1645.25,1755.72,08-06-2023,128,Furniture
Kerala,6237.35,1008.54,24-09-2023,4,Furniture
Kerala,7670.99,1143.46,12-04-2023,76,Books
Gujarat,2742.24,1191.42,11-12-2023,144,Electronics
Kerala,9789.74,1156.43,04-10-2023,140,Books
Maharashtra,7431.99,1385.67,18-06-2023,112,Books
Karnataka,1649.52,327.28,10-04-2023,37,Furniture
Punjab,3974.2,607.77,28-08-2023,149,Furniture
Haryana,642.91,856.64,05-03-2023,123,Books
Haryana,6996.56,1765.21,14-06-2023,112,Books
Kerala,6902.22,409.26,25-05-2023,38,Furniture
Punjab,946.55,99.09,18-03-2023,31,Clothing
Karnataka,8465.29,906.51,13-12-2023,150,Clothing
Karnataka,4023.17,385.37,29-10-2023,121,Clothing
Punjab,7787.73,1864.1,09-07-2023,43,Furniture
Karnataka,5317.61,1461.76,25-03-2023,130,Furniture
Rajasthan,9723.6,1396.59,18-07-2023,114,Books
Rajasthan,3396.58,1564.18,02-09-2023,98,Books
Punjab,5432.61,875.08,09-06-2023,24,Furniture
Karnataka,1355.82,797.97,03-12-2023,120,Electronics
Haryana,6962.19,1851.11,28-09-2023,130,Electronics
Punjab,776.47,118.96,13-06-2023,98,Clothing
Haryana,1903.48,1618.67,13-06-2023,33,Electronics
Karnataka,7803.59,865.42,19-03-2023,101,Electronics
Maharashtra,1676.87,1686.37,08-08-2023,90,Books
Punjab,5611.84,135,14-03-2023,7,Clothing
Maharashtra,2847.21,1215.34,06-01-2023,16,Electronics
Maharashtra,1883.41,681.55,23-09-2023,5,Books
Haryana,640.61,1200.22,15-01-2023,89,Furniture
Haryana,4701.69,556.19,04-08-2023,25,Clothing
Punjab,1636.4,363.16,21-08-2023,83,Electronics
Haryana,3851.07,56.99,27-10-2023,121,Furniture
Karnataka,6826.71,1145.15,02-07-2023,13,Electronics
